level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
5,country,Poland,5.357,-7,13,18,29.0457162,42.06220257,53.03957568,45.13172059,317.6612764,31.0049381,17.02687716,-210.8227603,136.0182409,-300.4549843,165.8624616,1346.738924,3857.455362,1680.183424,1858.589803,1806.360582,6147.180488,1026.444133,2900.993079,-451.20894,2898.108758,4995.543175,11599.98783,2169.485067,891.0443426,1854.077812,850.928087,1819.070684,2183.743487
5,country,Portugal,147.5944886,413.8300218,600.8551878,138.3466183,282.4658755,678.4727672,711.7745127,2072.803109,4058.278746,3191.346509,8054.996315,6279.834632,-313.4986589,6770.969286,4086.548315,2628.359313,4497.682277,7355.900661,695.9042329,879.5693885,-10065.05893,13618.70139,-8471.773091,770.3352642,-3264.51514,4810.764506,879.2528605,-929.9464666,1374.890131,4010.481315,2525.659452,1468.186099,2713.902431
5,country,Romania,18,3,4,7,0.01,2,0.01,-9,-9,15.98078896,-12.89847061,15.21239184,20.704908,117.3769855,154.2157904,-39.79505546,422.7608416,277.8393678,276.0347164,-96.25710051,-50.06456569,-26.47093577,-114.2781518,-280.7756159,-373.9853598,562.4320426,4.615793208,-96.59854712,379.0040294,362.5755086,53.08929922,141.1009422,1134.838631
5,country,Slovakia,0,0,0,12.77234673,17.69397843,-41.39546467,56.53477394,95.10295631,-192.2075272,551.9306391,40.6430808,92.67478591,15.61997082,339.7081826,-28.12016899,191.4316271,632.3762045,672.8352481,550.1080309,904.406933,946.1250654,713.1986293,8.364448396,-312.984926,42.81282797,5.948796183,95.55079365,1325.384598,321.6946238,43.27605802,348.1014865,388.6047695,432.9576748
5,country,Slovenia,0,0,-1.8,1.3,-12.96577155,-10.20247986,7.110596312,31.41291184,-5.493341286,47.6227511,66.08715672,144.2868519,151.6041597,475.1420374,545.7513053,628.608914,838.916829,1578.874901,1408.418354,214.0188902,-18.08766365,198.3248883,-258.845629,-213.8191852,275.552045,267.3977957,289.8588834,338.3856448,280.8638058,609.6911705,518.8244627,1303.035161,336.4167186
5,country,Spain,2685.284631,3424.604522,1734.411448,2842.00166,3936.943528,4577.435515,6842.110476,14396.60673,20375.91159,44382.27432,58213.26516,33106.36066,32714.7259,28717.45554,60531.68191,41829.47073,104248.0264,137051.7096,74717.21097,13070.24032,37843.80269,41164.16929,-3981.857756,13854.83764,36464.60218,46700.32176,40910.09719,38214.66093,37944.09829,26195.8566,38124.03342,751.2058039,39443.40076
5,country,Sweden,14746.23242,7054.650622,408.6678354,1358.01838,6701.140492,11215.42631,5025.529529,12647.72642,24478.63927,21927.56852,40906.91796,7301.422824,10600.28273,21422.4058,23158.05516,28633.00188,26788.60163,39079.44789,30907.5875,27318.77677,20729.87657,30318.13156,29370.98341,32924.92904,9319.18919,10171.3844,1381.220954,28838.69896,20852.30079,16286.24615,26135.17093,27033.42724,62253.15152
4,region,Other Europe,26718.59203,24427.33146,27615.00273,37826.01556,47526.36131,63786.50949,59622.22158,86947.00334,145406.3221,244858.8822,289183.1887,77225.26167,70893.16433,93333.55664,148940.1114,180993.0688,208065.5902,452165.7297,319167.1403,112732.0962,193383.9018,211611.9328,112447.1899,160230.026,-78939.2052,68942.79674,89961.94952,203112.706,195906.1176,884.382582,-102042.8225,96674.9472,128116.2035
5,country,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.65840333,4.10386497,10.38712085,23.89692296,81.13670487,39.19882516,6.381076492,29.77667494,23.03499706,39.8167209,33.35857465,37.66781316,64.20048261,26.1858768,82.54898024,127.8328311,87.52652752,63.0873785,163.2751489
5,country,Belarus,0,0,0,1.8648435,6.023764,0.26,-1.0346124,0,2.2691772,0.8,0.2,0.3,-206.2,1.5,1.3,2.5,2.9999999,15.2,30.6,102.3,50.6,125.5,121.1999999,245.7,38.9999999,122.2,113.8,70,49.7,16,87.9,-71.49236,173.04367
5,country,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.523654676,0.4450887634,4.105011321,28.01259622,16.53085673,5.533813011,45.63362535,17.53735049,62.3087484,44.47642646,18.38458251,72.67634061,38.61798268,78.51699012,1.795423857,34.60664472,62.05137111,43.50247284,43.14326019
5,country,Iceland,11.56410529,28.67976466,6.325385475,14.33364101,23.76173075,24.82544129,63.62406015,54.79216352,73.7052607,120.6188403,389.6412812,344.1122673,323.7775429,376.5920557,2565.018371,7072.419449,5472.812767,10108.68785,-4252.949758,2248.742296,-2367.85442,17.65355227,-3205.641214,460.2654345,-257.0182209,-31.25910927,-1147.339319,-208.2374536,75.96478883,478.8316182,-426.7779453,-29.74276641,-231.3795289
5,country,"Moldova, Republic of",0,0,0,0,17.8,0.52,0.56,0.45,-0.74,0.06,0.08,0.12,0.45,0.11,-1.6,-0.16,-0.93,17.3599999,16.0799999,5.4,2.87,22.52,16.84,22.09,36.62,18.74,9.12,12.94,37.5,40.27,-1.97,28.09,50.64
5,country,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0.1016422757,5.725495748,2.588515766,4.418494628,32.79219109,157.3364648,107.9635257,45.69051863,29.21680152,17.14591544,26.67372484,17.32784381,27.44941732,12.27560191,-184.8796794,11.42666712,108.9743387,75.47976213,-5.158902395,10.98582604,52.5985151
5,country,North Macedonia,0,0,0,0,0,0,0,0.0739719,0.010099,0.302874,-0.6028,0.8722,0.1045,0.3148863362,1.17813538,2.870095259,0.1718880349,-1.20061371,-13.87579888,11.20227327,4.773359204,-0.2948655393,-25.56688347,30.31219204,10.23229843,15.46306668,23.85455713,1.979833034,12.24852794,39.7203328,53.36146982,98.15026482,88.04618881
5,country,Norway,1583.292597,1448.725424,-120.2027516,718.481336,2171.849274,2856.281451,6104.675952,5289.111318,2542.312229,5832.543719,8221.917235,-1183.876152,5271.062078,3621.921353,3219.188142,17184.78851,15137.68978,8851.573016,22020.03546,20417.98061,19250.94761,18094.0333,20671.76622,8871.659574,19260.76738,30947.76028,3091.904762,-2220.470594,11408.17707,12523.63636,9302.204064,18838.30035,10119.44145
5,country,Russian Federation,0,0,1566,1021.942,281.37,605.783,922.8239999,3183.909,1209.752,2195.12,3151.86,2502.058,3483.838,9550.095,13662.787,16746.644,29839.958,43849.381,56735.403,34449.682,41116.463,48634.931,28422.531,70684.768,64202.54,27089.944,26951.18716,34153.09611,35819.67131,22023.98224,6778.05674,64071.56684,10440.49
5,country,Serbia,0,0,0,0,0,0,0,0,0,0,1.646397549,12.3435137,19.97835396,118.894986,-3.00360706,22.20812814,87.54983685,945.6351846,330.7474273,23.51830663,184.9865956,317.5259236,331.2880151,329.0324801,356.3734858,346.2484289,249.8101722,146.601231,362.790848,294.4567301,112.2031031,264.4026687,111.6281286
5,country,Switzerland,7175.559331,6541.189269,6056.662542,8764.09361,10793.38154,12210.03493,16151.97288,17731.91117,18767.4247,33276.21558,44673.03001,18319.51695,8202.950064,15441.65151,26269.40088,51117.50912,76503.65758,51598.41031,44858.74569,26241.4919,86182.50376,48548.6441,44076.60043,38539.15956,-11528.30493,77186.41238,98210.18625,28337.57425,65057.96637,-47404.07038,-40041.9637,-71480.66073,-23025.16621
5,country,Ukraine,0,0,0,0,8,10,-5,42,-4,7,1,23,-5,13,4,275,-133,673,1010,162,736,192,1206,420,111,-95,100,281,-127,842,22,-198,344
5,country,United Kingdom,17948.176,16408.737,20106.21755,27305.30013,34224.175,48078.80467,36384.5993,60644.75571,122815.5886,203426.2212,232744.4166,57206.81489,53802.10215,64203.75136,103204.0719,88560.32204,81100.37591,335885.1636,198185.1807,28964.71362,48091.79531,95587.37529,20699.88484,40485.57046,-151285.9329,-66821.48041,-37605.82207,142373.0341,82961.10106,11717.47857,-78139.74359,84918.12974,129601.554
3,region,North America,36218.544,38530.09,46238.078,82948.969,82545.506,103535.606,97522.216,118834.5342,165354.1004,226638.4137,187304.172,160901.8231,161718.7423,152276.2354,338251.7587,42907.45646,270433.724,458145.1297,387573.253,327502.0848,312501.7615,448716.9367,374060.3619,360794.1061,393284.6495,331799.3147,353975.6195,403968.4217,-99356.95299,97835.11821,246900.1111,446931.6266,452272.7113
4,country,Canada,5236.544,5834.09,3591.078,5701.969,9293.506,11461.606,13096.216,23065.53423,34350.10044,17247.41373,44678.17199,36028.82306,26772.74233,22924.23539,43346.7587,27538.45646,46213.72404,64627.12969,79277.25296,39601.08477,34722.76151,52147.93675,55864.36186,57362.10612,60270.64947,67440.31467,69506.61954,76188.42165,58049.04701,77492.11821,42438.11109,96973.6266,79276.71132
4,country,United States,30982,32696,42647,77247,73252,92074,84426,95769,131004,209391,142626,124873,134946,129352,294905,15369,224220,393518,308296,287901,277779,396569,318196,303432,333014,264359,284469,327780,-157406,20343,204462,349958,372996
